"Reference","Value","Datasheet","Footprint","Qty","DNP","Digikey"
"C1","Piezo Buzzer","~","Capacitor_THT:CP_Radial_D12.5mm_P7.50mm","1","","102-1155-ND"
"C2,C4,C5,C6","10nF","~","Capacitor_SMD:C_0805_2012Metric","4","","399-1158-1-ND"
"C3","2.2uF","~","Capacitor_SMD:C_0805_2012Metric","1","","445-1420-2-ND"
"D1","1N4007FL","","Diode_SMD:D_SOD-123","1","","1655-1N4007FLCT-ND"
"J1","6 Pin Female Socket","~","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical","1","","952-1781-ND"
"J2","Qwiic","~","Connector_JST:JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal","1","","455-1804-1-ND"
"J3","6 Pin Male Header","~","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical","1","","732-5394-ND"
"J4","8 Pin Female Socket","~","Connector_PinHeader_2.54mm:PinHeader_2x04_P2.54mm_Vertical","1","","952-1790-ND"
"J5","3 Pin Male Header","~","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1","","732-5316-ND"
"J6","Barrel_Jack_Switch","~","Connector_BarrelJack:BarrelJack_CLIFF_FC681465S_SMT_Horizontal","1","","CP-002AHPJCT-ND "
"Q1","MMBT3904","https://www.onsemi.com/pdf/datasheet/pzt3904-d.pdf","Package_TO_SOT_SMD:SOT-23","1","","MMBT3904TPMSCT-ND"
"R1","1k","~","Resistor_SMD:R_0805_2012Metric","1","","311-1.0KARCT-ND"
"SW2","Reset Switch","~","Button_Switch_SMD:SW_SPST_B3S-1000","1","","CKN9104CT-ND"
"U1","LM1086-5.0","","Package_TO_SOT_SMD:TO-263-3_TabPin2","1","","LM1086ISX-5.0/NOPBCT-ND"
