Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","10nF","C_0805_2012Metric",163.300000,-84.750000,0.000000,top
"C2","2.2uF","C_0805_2012Metric",165.250000,-114.500000,-90.000000,top
"C3","10nF","C_0805_2012Metric",158.000000,-132.500000,180.000000,top
"C4","10nF","C_0805_2012Metric",162.750000,-114.500000,-90.000000,top
"C5","10nF","C_0805_2012Metric",151.250000,-75.750000,90.000000,top
"D1","1N4007FL","D_SOD-123",151.500000,-101.250000,-90.000000,top
"J1","6 Pin Female Socket","PinHeader_2x03_P2.54mm_Vertical",165.000000,-129.500000,180.000000,top
"J2","8 Pin Female Socket","PinHeader_2x04_P2.54mm_Vertical",155.700000,-90.740000,90.000000,top
"J3","6 Pin Male Header","PinHeader_2x03_P2.54mm_Vertical",155.700000,-139.000000,90.000000,top
"J4","Qwiic","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",146.500000,-79.500000,-90.000000,top
"J5","3 Pin Male Header","PinHeader_1x03_P2.54mm_Vertical",145.750000,-87.920000,0.000000,top
"J6","Barrel_Jack_Switch","BarrelJack_CLIFF_FC681465S_SMT_Horizontal",160.000000,-76.000000,180.000000,top
"PZ1","Piezo Buzzer","Buzzer_TDK_PS1240P02BT_D12.2mm_H6.5mm",156.926041,-99.750000,0.000000,top
"Q1","MMBT3904","SOT-23",146.750000,-101.312500,0.000000,top
"R1","1k","R_0805_2012Metric",146.750000,-97.000000,0.000000,top
"SW1","Reset Switch","SW_SPST_PTS647_Sx38",154.500000,-125.000000,-90.000000,top
"U1","LM1086-5.0","TO-263-3_TabPin2",153.000000,-113.460000,180.000000,top
"U2","BME280","Bosch_LGA-8_2.5x2.5mm_P0.65mm_ClockwisePinNumbering",146.500000,-71.000000,270.000000,top
