"Reference","Value","Datasheet","Footprint","Qty","DNP","Digikey"
"ANT1,J1,J2","~","","-- mixed values --","3","","-- mixed values --"
"ANT2","SMA Edge Mount (Optional)","~","Connector_Coaxial:SMA_Amphenol_132289_EdgeMount","1","","CON-SMA-EDGE-S-ND"
"C1","6V 2.5F","~","Capacitor_THT:CP_Radial_D16.0mm_P7.50mm","1","","478-11309-ND"
"C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15","10nF","~","Capacitor_SMD:C_0805_2012Metric","14","","399-1158-1-ND"
"C16,C19","20pF","~","Capacitor_SMD:C_0805_2012Metric","2","","712-1381-1-ND"
"C17,C18","36pF","~","Capacitor_SMD:C_0805_2012Metric","2","","478-10473-1-ND"
"D1","D_Zener","~","Diode_SMD:D_SOD-123","1","","MMSZ5231B-FDICT-ND"
"D2","Red","~","Diode_SMD:D_0805_2012Metric","1","","160-1405-1-ND"
"D3","Green","~","Diode_SMD:D_0805_2012Metric","1","","160-1169-1-ND"
"J3","3 Pin Male Header","~","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1","","732-5316-ND"
"J4","6 Pin Male Header","~","Connector_PinHeader_2.00mm:PinHeader_2x03_P2.00mm_Vertical","1","","732-5394-ND"
"J5","Qwiic","~","Connector_JST:JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal","1","","455-1804-1-ND"
"L1,L3","56nH","~","Inductor_SMD:L_0805_2012Metric","2","","535-11570-1-ND"
"L2","68nH","~","Inductor_SMD:L_0805_2012Metric","1","","535-11572-1-ND"
"R1","100k","~","Resistor_SMD:R_0805_2012Metric","1","","311-100KCRCT-ND"
"R2","22k","~","Resistor_SMD:R_0805_2012Metric","1","","311-22KARTR-ND"
"R3,R4","1k","~","Resistor_SMD:R_0805_2012Metric","2","","311-1.0KARCT-ND"
"R5,R8,R11","1M","~","Resistor_SMD:R_0805_2012Metric","3","","311-1.0MARCT-ND"
"R6,R7,R9,R10","10k","~","Resistor_SMD:R_0805_2012Metric","4","","311-10KARCT-ND"
"R12,R13","4.7k","~","Resistor_SMD:R_0805_2012Metric","2","","311-4.7KARCT-ND"
"U1","ATGM336H-5N31","","Custom DS:ATGM336H-5N31","1","","ALIEXPRESS"
"U2","SA818S-V","","Custom DS:DRA818 SA818","1","","ALIEXPRESS"
"U3","TXB0104D","http://www.ti.com/lit/ds/symlink/txb0104.pdf","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","1","","296-34698-5-ND"
"U4","BME280 (Optional)","https://www.bosch-sensortec.com/media/boschsensortec/downloads/datasheets/bst-bme280-ds002.pdf","Package_LGA:Bosch_LGA-8_2.5x2.5mm_P0.65mm_ClockwisePinNumbering","1","","828-1063-1-ND"
"U5","LP3985IM5-3.3/NOPB","","Package_TO_SOT_SMD:SOT-23-5","1","","LP3985IM5-3.3/NOPBCT-ND"
"U7","MEGA8-AI","http://ww1.microchip.com/downloads/en/DeviceDoc/ATmega328_P%20AVR%20MCU%20with%20picoPower%20Technology%20Data%20Sheet%2040001984A.pdf","Package_QFP:TQFP-32_7x7mm_P0.8mm","1","","ATMEGA328P-AU-ND"
"Y2","8MHz","~","Crystal:Resonator_SMD_Murata_CSTxExxV-3Pin_3.0x1.1mm","1","","490-CSTNE8M00G520000R0CT-ND"
