Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"ANT1","GPS Antenna","Pulse ANT8010LL05R1575A Antenna",147.250000,-139.500000,180.000000,top
"ANT2","SMA Edge Mount (Optional)","SMA_Samtec_SMA-J-P-H-ST-EM1_EdgeMount",145.250000,-69.750000,90.000000,top
"ANT2a1","VHF Test Point","Small Test Point Pin",144.750000,-73.500000,0.000000,top
"ANT2b1","VHF Test Point","Small Test Point Pin",150.500000,-72.750000,0.000000,top
"C2","10nF","C_0805_2012Metric",164.480000,-112.250000,0.000000,top
"C3","10nF","C_0805_2012Metric",143.278474,-111.000000,0.000000,top
"C4","10nF","C_0805_2012Metric",163.750000,-85.000000,180.000000,top
"C5","10nF","C_0805_2012Metric",154.750000,-132.250000,90.000000,top
"C6","10nF","C_0805_2012Metric",141.125000,-86.450000,0.000000,top
"C7","10nF","C_0805_2012Metric",146.125000,-92.450000,90.000000,top
"C8","2.2uF","C_0805_2012Metric",146.125000,-88.700000,-90.000000,top
"C9","10nF","C_0805_2012Metric",148.750000,-88.700000,-90.000000,top
"C10","10nF","C_0805_2012Metric",143.300000,-113.400000,180.000000,top
"C11","10nF","C_0805_2012Metric",160.000000,-118.000000,-90.000000,top
"C12","47uF","C_0805_2012Metric",162.600000,-118.000000,-90.000000,top
"C13","10nF","C_0805_2012Metric",160.000000,-114.000000,90.000000,top
"C14","1uF","C_0805_2012Metric",162.500000,-126.500000,180.000000,top
"C15","10nF","C_0805_2012Metric",162.500000,-124.250000,0.000000,top
"C16","20pF","C_0805_2012Metric",148.000000,-84.250000,180.000000,top
"C17","36pF","C_0805_2012Metric",147.500000,-81.250000,180.000000,top
"C18","36pF","C_0805_2012Metric",147.500000,-77.750000,180.000000,top
"C19","20pF","C_0805_2012Metric",147.500000,-74.750000,180.000000,top
"C20","10nF","C_0805_2012Metric",140.300000,-121.400000,90.000000,top
"D1","CDBA340L-G Schottky","D_SMA",139.750000,-77.500000,90.000000,top
"D2","CDBA340L-G Schottky","D_SMA",163.500000,-76.750000,90.000000,top
"D3","5.1V Zenor","D_SOD-123",154.750000,-71.000000,180.000000,top
"D4","CDBA340L-G Schottky","D_SMA",154.000000,-76.750000,90.000000,top
"D5","Red","D_0805_2012Metric",159.770000,-102.000000,0.000000,top
"D6","Green","D_0805_2012Metric",162.540000,-128.750000,0.000000,top
"J1","6 Pin Male Header","PinHeader_2x03_P2.54mm_Vertical",155.700000,-139.000000,90.000000,top
"J2","8 Pin Male Header","PinHeader_2x04_P2.54mm_Vertical",155.700000,-90.740000,90.000000,top
"JPV2","5.5V 180mW Solar","PowerFilm MPT3.6-75",167.250000,-104.750000,0.000000,top
"L1","56nH","L_0805_2012Metric",144.000000,-83.750000,135.000000,top
"L2","68nH","L_0805_2012Metric",144.000000,-79.750000,45.000000,top
"L3","56nH","L_0805_2012Metric",144.000000,-75.750000,135.000000,top
"PV1","5.5V 180mW Solar","PowerFilm MPT3.6-75",137.250000,-104.750000,0.000000,top
"Q1","BSS138","SOT-23",148.312500,-106.703052,180.000000,top
"Q2","BSS138","SOT-23",148.312500,-101.751526,180.000000,top
"Q3","BSS138","SOT-23",148.312500,-97.250000,180.000000,top
"Q4","MMBT3904","SOT-23",163.650000,-102.706250,180.000000,top
"Q5","DMP2004K-7","SOT-23",144.562500,-121.350000,0.000000,top
"R1","47","R_2512_6332Metric",158.750000,-76.772500,-90.000000,top
"R2","100k","R_0805_2012Metric",164.500000,-109.970000,0.000000,top
"R3","22k","R_0805_2012Metric",164.500000,-114.500000,180.000000,top
"R4","1k","R_0805_2012Metric",159.750000,-99.727500,0.000000,top
"R5","1k","R_0805_2012Metric",162.520000,-131.000000,0.000000,top
"R6","1M","R_0805_2012Metric",145.600000,-116.700000,-90.000000,top
"R7","10k","R_0805_2012Metric",162.520000,-133.250000,180.000000,top
"R8","4.7k","R_0805_2012Metric",155.500000,-85.000000,0.000000,top
"R9","4.7k","R_0805_2012Metric",159.000000,-85.000000,0.000000,top
"R10","10k","R_0805_2012Metric",143.298474,-107.753052,0.000000,top
"R11","10k","R_0805_2012Metric",143.298474,-105.753052,180.000000,top
"R12","10k","R_0805_2012Metric",143.298474,-103.001526,0.000000,top
"R13","10k","R_0805_2012Metric",143.298474,-100.751526,180.000000,top
"R14","10k","R_0805_2012Metric",143.298474,-98.250000,0.000000,top
"R15","10k","R_0805_2012Metric",143.298474,-96.000000,180.000000,top
"R16","4.7k","R_0805_2012Metric",162.500000,-122.000000,0.000000,top
"R17","1k","R_0805_2012Metric",159.750000,-97.500000,0.000000,top
"R18","10k","R_0805_2012Metric",164.500000,-106.456250,180.000000,top
"R19","10k","R_0805_2012Metric",164.500000,-99.250000,180.000000,top
"R20","10k","R_0805_2012Metric",159.750000,-106.500000,180.000000,top
"R21","10k","R_0805_2012Metric",159.750000,-104.250000,0.000000,top
"R22","1k","R_0805_2012Metric",153.600000,-102.000000,180.000000,top
"R23","10k","R_0805_2012Metric",148.800000,-121.400000,-90.000000,top
"U1","LP3985IM5-3.3/NOPB","SOT-23-5",141.625000,-90.500000,180.000000,top
"U2","ATMega 328p-AU","TQFP-32_7x7mm_P0.8mm",153.050000,-114.000000,270.000000,top
"U4","ATGM336H-5N31","ATGM336H-5N31",146.450000,-129.650000,0.000000,top
"Y1","8MHz","Resonator_SMD_Murata_CSTxExxV-3Pin_3.0x1.1mm",142.850000,-116.500000,90.000000,top
